ID,airport_name,type,country,lat,long,elevation,service
325912,General Gregorio Lim Marine Base Heliport,heliport,PH,14.267422,120.626543,,no
325938,Fuga Airstrip,small_airport,PH,18.863326,121.283612,,no
325939,Barit Island Airstrip,closed,PH,18.869946,121.256533,92.0,no
325946,Camalaniugan Airport,closed,PH,18.301036,121.664958,,no
593345,Camaya Coast Airport,small_airport,PH,14.44802,120.42486,250.0,no
325950,Jose Paredes Airbase,small_airport,PH,18.402542,120.666339,,no
325951,Divilacan Airstrip,closed,PH,17.332368,122.299504,26.0,no
325972,Clark International Airport South Ramp Heliport,heliport,PH,15.172336,120.545547,,no
325979,Corregidor South Dock Heliport,heliport,PH,14.384889,120.58748,,no
325980,Corregidor Parade Ground Heliport,heliport,PH,14.38051,120.574514,,no
325985,Acoje Airport,closed,PH,15.689508,120.054624,,no
325986,Alto Airfield,closed,PH,15.424775,120.631911,,no
325987,Alto Airfield Helipad,heliport,PH,15.423048,120.6344,,no
325988,Apuao Grande Island Airstrip,small_airport,PH,14.084946,123.092194,,no
325990,Barlo Airstrip,closed,PH,15.993665,119.921908,,no
325992,Binalonan Airport,small_airport,PH,16.052041,120.582225,,no
325994,Bundagul Airstrip,closed,PH,15.240879,120.599016,,no
325995,Cabaluyan Airstrip,small_airport,PH,15.689794,120.330656,276.0,no
325996,Calatagan (Hacienda Zobel) Airstrip,closed,PH,13.843496,120.633745,,no
325997,Calatagan (Hacienda Bigaa) Heliport,heliport,PH,13.848569,120.635766,,no
325998,Dibagat Airstrip,small_airport,PH,18.080335,121.099768,,no
326000,Hermana Mayor Island Airstrip,small_airport,PH,15.781981,119.793205,,no
326001,Hermana Menor Island Airstrip,small_airport,PH,15.735475,119.82478,,no
326002,Ibonan Airstrip,small_airport,PH,15.304634,121.375591,,no
326008,Cojuangco Airstrip,small_airport,PH,15.674114,120.600357,,no
326020,Camp Capinpin Airstrip,small_airport,PH,14.53567,121.364572,1297.0,no
326024,Cabanatuan Airstrip (Camp Tinio),closed,PH,15.486231,121.042396,,no
326025,Canlubang Airstrip,closed,PH,14.22367,121.09927,,no
326026,Echague Airstrip,closed,PH,16.701018,121.650809,,no
326033,Ayala Tower One /  Philippine Exchange Plaza Heliport,heliport,PH,14.55664,121.022483,,no
326035,Enterprise Center Heliport,heliport,PH,14.556181,121.021222,,no
326036,BDO Equitable Bank Tower Heliport,heliport,PH,14.558072,121.023867,,no
326037,BPI Computer Systems Corporation Heliport,heliport,PH,14.557999,121.023429,,no
326038,Citibank Tower Heliport,heliport,PH,14.558932,121.025219,,no
326039,Gercon Plaza Heliport,heliport,PH,14.559525,121.026437,,no
326041,Eurovilla III Heliport,heliport,PH,14.559841,121.024752,,no
326042,Four Seasons Heliport,heliport,PH,14.560433,121.023097,639.0,no
326047,BPI Buendia Center Heliport,heliport,PH,14.561497,121.026426,,no
326048,Development Bank of the Philippines Heliport,heliport,PH,14.560899,121.027962,,no
326051,Export Bank Plaza Heliport,heliport,PH,14.559421,121.011615,,no
326054,Cocolife Building Heliport,heliport,PH,14.559587,121.017526,,no
326055,Easton Place Heliport,heliport,PH,14.559381,121.019807,,no
326056,Allied Bank Center Heliport,heliport,PH,14.554888,121.023465,,no
326058,Frabella I Condominiums Heliport,heliport,PH,14.555952,121.01809,,no
326062,Discovery Primea Heliport,heliport,PH,14.553579,121.026737,,no
326064,Asian Development Bank Heliport,heliport,PH,14.588634,121.058331,,no
326066,Ever Gotesco – Commonwealth Heliport,heliport,PH,14.678164,121.085228,,no
326068,Government Arsenal Heliport,heliport,PH,14.507939,120.586678,,no
326095,Camp Panacan Heliport,heliport,PH,7.153643,125.661648,,no
326143,Findlay Millar Lumber Airstrip,closed,PH,8.11027,123.88301,3.0,no
326186,Balamban Heliport,heliport,PH,10.470439,123.69704,,no
326192,BDO ATM – Steag Coal Power Plant Villanueva Heliport,heliport,PH,8.565884,124.762319,,no
326201,Edwin Andrews Air Force Base Heliport,heliport,PH,6.924595,122.065895,,no
326269,Isabela Airstrip,closed,PH,6.688227,121.947518,,no
334477,Air Juan Seaplane Base,closed,PH,14.556705,120.979401,,no
334814,Federal Tower Helipad,heliport,PH,14.596645,120.9743,,no
335115,Chatham House Helipad,heliport,PH,14.559565,121.019472,,no
335147,Bataan 2020 Helipad,heliport,PH,14.768859,120.504089,,no
337332,Bicobian Bay Airstrip,small_airport,PH,17.34772,122.36638,26.0,no
336088,Batangas Airfield,closed,PH,13.77203,121.06114,,no
336812,Angeles University Medical Center Helipad,heliport,PH,15.144919,120.594875,,no
336815,Anvaya Cove Heliport,heliport,PH,14.71879,120.27186,,no
336818,Bataan Field,closed,PH,14.45046,120.57002,,no
336820,Ernajos Strip,closed,PH,15.99894,120.79146,,no
336821,Carranglan Airstrip,closed,PH,15.980973,121.040325,,no
337346,Catanauan Airstrip,closed,PH,13.58833,122.27916,,no
337347,Buenavista Airfield,closed,PH,8.94222,125.39722,53.0,no
337349,Doña Flavia Airstrip,closed,PH,8.46837,125.71063,184.0,no
337350,Kasapa Airstrip,small_airport,PH,8.1654,125.6345,577.0,no
337354,Guianga Airstrip,closed,PH,7.09551,125.39023,2402.0,no
337355,Consuelo Airstrip 1,small_airport,PH,7.64333,126.09444,,no
337356,Consuelo Airstrip 2,closed,PH,7.633222,126.088913,,no
337357,Cogonon Airstrip,closed,PH,7.58916,126.11055,,no
337358,Dizon Airstrip,closed,PH,7.48762,125.93749,,no
337366,Air Juan Boracay Seaplane Terminal,closed,PH,11.97444,121.91277,,no
337652,Dewey Boulevard Airstrip,closed,PH,14.5775,120.9786,,no
337681,Air Juan Puerto Galera Seaplane Base,closed,PH,13.50946,120.94719,,no
337683,Angeles West Airfield,closed,PH,15.13013,120.56456,,no
337688,Balara Airfield,closed,PH,14.66194,121.06533,,no
337762,DOST-PCAARRD Heliport,heliport,PH,14.17417,121.22434,,no
337802,Fastech Helipad,heliport,PH,14.23451,121.09219,,no
337806,Cuyapo Airstrip,closed,PH,15.81936,120.68967,,no
337807,Bitulok Airstrip,small_airport,PH,15.48505,121.28535,,no
337813,Camp Aquino Heliport,heliport,PH,15.441902,120.592082,,no
337817,Camp John Hay Forest Lodge Helipad,heliport,PH,16.40193,120.61779,,no
337818,Camp John Hay White House Heliport,heliport,PH,16.40271,120.61718,4895.0,no
337819,Camp John Hay Country Estates Helipad,heliport,PH,16.40269,120.61818,4905.0,no
337825,Calayan Airport,small_airport,PH,19.25716,121.489145,,no
337844,General Emilio Aguinaldo Airstrip,small_airport,PH,12.81818,120.88265,,no
337845,Cagsiay Airstrip,closed,PH,14.2226,121.74419,,no
337846,Balayan (Magabe) Airfield,closed,PH,13.95161,120.73582,,no
337847,Coral Shores Heliport,heliport,PH,13.78265,120.65162,,no
337850,Caballo Island Naval Heliport,heliport,PH,14.36905,120.62231,,no
338288,Government Service Insurance System (GSIS) Complex Helipad,heliport,PH,14.546694,120.984036,,no
339276,Gapuzan Trucking Inc Helipad,heliport,PH,14.44834,120.97913,,no
339289,Iloilo/Mandurriao Airport,closed,PH,10.71271,122.54524,25.0,no
339311,Hamilo Coast Helipad,heliport,PH,14.18891,120.61506,,no
339313,Camella Lipa Helipad,heliport,PH,13.95959,121.15171,,no
339321,Classica Tower Heliport,heliport,PH,14.561269,121.023808,,no
339322,Grand Soho Makati Heliport,heliport,PH,14.561679,121.023154,,no
339323,ACT Tower Heliport,heliport,PH,14.561731,121.02266,,no
340072,Camp Crame Heliport,heliport,PH,14.60811,121.05508,,no
340073,Aurora Tower Heliport,heliport,PH,14.62278,121.05357,,no
341180,Angeles Airfield,closed,PH,15.12128,120.59572,,no
341181,Angeles Northeast Airfield,closed,PH,15.15326,120.60049,,no
341182,Grace Park / Manila North Airfield,closed,PH,14.65135,120.99138,,no
341398,Fairways Tower Helipad,heliport,PH,14.54604,121.04527,,no
341534,James Steelworks Heliport,heliport,PH,14.53525,121.36838,,no
341535,Cavite Naval Hospital Heliport,heliport,PH,14.48352,120.913495,7.0,no
341538,Island Cove Heliport,heliport,PH,14.46306,120.92336,,no
341579,Belvedere Tower Helipad,heliport,PH,14.57963,121.05879,,no
341584,AIC Burgundy Empire Tower Helipad,heliport,PH,14.58969,121.06098,,no
341585,Crowne Plaza Manila Galleria Helipad,heliport,PH,14.59077,121.06096,,no
341587,Antel Global Business Center Helipad,heliport,PH,14.58398,121.06289,,no
341588,Avant Garde Residences Helipad,heliport,PH,14.58359,121.06325,,no
341591,Holiday Inn Galleria Manila Helipad,heliport,PH,14.59002,121.06019,,no
341592,Caswynn Building Helipad,heliport,PH,14.63256,121.0439,,no
341593,GMA Network Tower Helipad,heliport,PH,14.6334,121.04391,,no
341594,Eton Centris Heliport,heliport,PH,14.64118,121.04029,,no
341595,Eton Heliport,heliport,PH,14.64213,121.04137,,no
341597,DILG-NAPOLCOM Center Helipad,heliport,PH,14.64463,121.03669,,no
342185,A O Floirendo Airstrip,small_airport,PH,7.38908,125.57206,118.0,no
342187,Evergreen Farms Airstrip,closed,PH,7.30567,125.65782,58.0,no
